Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Included / International,Price / International,Compare At Price / International,Status
sinister-diesel-series-3-powermax-turbo,Sinister Diesel Series 3 Powermax Turbo,"<div class=""title-heading product"">
<div class=""heading-inner"">
<div class=""header-wrap text-center"">
<h3 class=""title""><span>Carze - Car Dealerships, <br>Auto Part And Listing</span></h3>
</div>
</div>
</div>
<br>
<p class=""text-center"">A wonderful and modern design that is spend own for AUTO PARTS, Car Portal and MarketPlace theme.<br>The features are designed specifically and fully detailed with Car Listing, support perfectly for popular plugins such as:<br>Multi Vendor…And in particular, you will have a great mobile experience that’s designed to be at your best comfortable.<br>This 2 in 1 theme is really worthwhile for you to experience it.</p>",Carze,,"","$200.00 - $300.00, 2015, 2016, 2017, 2018, 2019, 2020, 4 Runner, 6-Series, 7-Series, 718 Boxster, 718 Cayman, 911 Series, Audi, Bentley, Honda, Lexus, Mercedes, Porsche",true,Title,Default Title,,,,,196X158,0.0,,0,deny,manual,222.00,699.00,true,true,"",https://cdn.shopify.com/s/files/1/0828/8718/0610/products/product1-1.jpg?v=1696321024,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
sinister-diesel-series-3-powermax-turbo,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0828/8718/0610/products/product1-2.jpg?v=1696321024,2,,,,,,,,,,,,,,,,,,,,,,,,,,
sinister-diesel-series-3-powermax-turbo,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0828/8718/0610/products/product1-5.jpg?v=1696321024,3,,,,,,,,,,,,,,,,,,,,,,,,,,
tayoto-switchback-sequential-headlights,Tayoto Switchback & Sequential Headlights,"<div class=""title-heading product"">
<div class=""heading-inner"">
<div class=""header-wrap text-center"">
<h3 class=""title""><span>Carze - Car Dealerships, <br>Auto Part And Listing</span></h3>
</div>
</div>
</div>
<br>
<p class=""text-center"">A wonderful and modern design that is spend own for AUTO PARTS, Car Portal and MarketPlace theme.<br>The features are designed specifically and fully detailed with Car Listing, support perfectly for popular plugins such as:<br>Multi Vendor…And in particular, you will have a great mobile experience that’s designed to be at your best comfortable.<br>This 2 in 1 theme is really worthwhile for you to experience it.</p>",Carze,,"","$200-$300, 2015, 2016, 2017, 2018, 2019, 2020, 4 Runner, 6-Series, 7-Series, 718 Boxster, 718 Cayman, 911 Series, Audi, Bentley, Honda, Lexus, Mercedes, Porsche",true,Title,Default Title,,,,,120T045,0.0,,0,deny,manual,259.00,328.00,true,true,"",https://cdn.shopify.com/s/files/1/0828/8718/0610/products/product2-2.jpg?v=1696320965,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
tayoto-switchback-sequential-headlights,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0828/8718/0610/products/product2-3.jpg?v=1696320965,2,,,,,,,,,,,,,,,,,,,,,,,,,,
tayoto-switchback-sequential-headlights,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0828/8718/0610/products/product2-4.jpg?v=1696320965,3,,,,,,,,,,,,,,,,,,,,,,,,,,
hydraulic-multi-plate-brake,Hydraulic Multi-plate Brake,"<div class=""title-heading product"">
<div class=""heading-inner"">
<div class=""header-wrap text-center"">
<h3 class=""title""><span>Carze - Car Dealerships, <br>Auto Part And Listing</span></h3>
</div>
</div>
</div>
<br>
<p class=""text-center"">A wonderful and modern design that is spend own for AUTO PARTS, Car Portal and MarketPlace theme.<br>The features are designed specifically and fully detailed with Car Listing, support perfectly for popular plugins such as:<br>Multi Vendor…And in particular, you will have a great mobile experience that’s designed to be at your best comfortable.<br>This 2 in 1 theme is really worthwhile for you to experience it.</p>",Carze,,"","2015, 2016, 2017, 2018, 2019, 2020, 4 Runner, 6-Series, 7-Series, 718 Boxster, 718 Cayman, 911 Series, Audi, auto_collection, Bentley, Honda, Lexus, Mercedes, Porsche",true,Title,Default Title,,,,,367Y100,0.0,,0,deny,manual,855.00,985.00,true,true,"",https://cdn.shopify.com/s/files/1/0828/8718/0610/products/product4-1.jpg?v=1696308039,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
hydraulic-multi-plate-brake,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0828/8718/0610/products/product4-2.jpg?v=1696308039,2,,,,,,,,,,,,,,,,,,,,,,,,,,
hydraulic-multi-plate-brake,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0828/8718/0610/products/product4-3.jpg?v=1696308039,3,,,,,,,,,,,,,,,,,,,,,,,,,,
hydraulic-multi-plate-brake,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0828/8718/0610/products/product4-4.jpg?v=1696308039,4,,,,,,,,,,,,,,,,,,,,,,,,,,
